comuna,fraccion_censal,radio_censal,manzana_censal,id_local,nombre_calle,codigo_calle_censal,altura_local,numero_local_shopping,activo,cuit,estado_inmueble,actividad_comercial,nombre_comercial,observacion_local
001,05,06,013,149886,LIBERTAD,7500,1172,16,OCUPADO,,Activo,Dep髎ito con ventas web,Fabrica Nordica.,"Local de funcionamiento ef铆mero. Pop Up. Se encontr贸 una vez abierto e informa que normalmente el local funciona como dep贸sito-oficina. Negocio vende por internet, y expone en cuatro jornadas en el local."
001,06,03,004,146270,ARROYO,850,889,12,OCUPADO,,Activo,Dep髎ito con ventas web,E-bike tour,Dep贸sito de ventas por internet de bicicletas
001,06,03,004,146275,ARROYO,850,889,2,OCUPADO,,Activo,Dep髎ito con ventas web,Rox茅,"Paseo arroyo es una galer铆a con locales que en su mayor铆a se usan como dep贸sito de antig眉edades, trabajan con turistas por tel茅fono e internet. Los n煤meros de los locales no son correlativos y algunos no lo tienen. Primer local censado a la derecha. Dep贸sito de arte y antig眉edades"
001,07,11,034,150787,FLORIDA,5530,860,96,OCUPADO,,Activo,Dep髎ito con ventas web,Toulose arte,Tiene vta por internet 20224672676
001,07,11,035,150590,AV CORDOBA,1180,541,71,OCUPADO,,Activo,Dep髎ito con ventas web,Service print on line,Venta por mercado libre
001,08,02,002,132795,AV SANTA FE,1740,1240,S/N,OCUPADO,,Activo,Dep髎ito con ventas web,Seven electronics,Dep贸sito de local de accesorios de telefon铆a que da a la calle
001,08,06,015,132885,LIBERTAD,7500,948,6B,OCUPADO,,Activo,Dep髎ito con ventas web,Milou hobbies,Solo exposici贸n de mercader铆a. Local de venta 6A
001,09,03,080,152695,AV CORRIENTES,1185,1145,26,OCUPADO,,Activo,Dep髎ito con ventas web,Don sodio,Realizan venta on line por www.donsodio.com dijo el empleado hab铆an dos personas venden fertilizantes plaguicidas y pipas y utensilios para fumar
001,09,06,028,135284,ESMERALDA,5245,623,6,OCUPADO,,Activo,Dep髎ito con ventas web,Bagdad,Venden por internet y tienda f铆sica en local 19
001,09,06,028,135285,ESMERALDA,5245,623,7,OCUPADO,,Activo,Dep髎ito con ventas web,Viena,Venden por internet dijo vecino
001,09,06,028,135286,ESMERALDA,5245,623,8,OCUPADO,,Activo,Dep髎ito con ventas web,Bagdad,Venden por internet y tienda f铆sica en local 19
001,09,06,028,135332,ESMERALDA,5245,623,15,OCUPADO,,Activo,Dep髎ito con ventas web,Bagdad,Venden por internet y dep贸sito de la tienda f铆sica local 19
001,09,06,028,135337,ESMERALDA,5245,623,11,OCUPADO,,Activo,Dep髎ito con ventas web,Bagdad,Venden por internet y tienen tienda f铆sica local 19
001,09,06,028,135329,TUCUMAN,11020,787,,OCUPADO,,Activo,Dep髎ito con ventas web,Green deco,Venta de productos de construcci贸n por internet.
001,09,06,029,139839,ESMERALDA,5245,610,,OCUPADO,,Activo,Dep髎ito con ventas web,Lavieri hermanos,Son dep贸sitos de la empresa  se dedican a la venta de alimentos al mayor y al detal en otros locales est谩n con el cuit n煤mero 30623295946
001,09,09,027,129297,FLORIDA,5530,670,15,OCUPADO,,Activo,Dep髎ito con ventas web,Luciana,Est谩 unido al local 17 es venta de tejido e indumentaria
